#ID = Feature ID									
#chrom = Chromosome number									
#start = The start position on the chromosome									
#end = The end position on the chromosome									
#loc = 									
#meanPos = 									
#cyto = The cytoband on the chromosome.									
#arm = The arm of the chromosome									
#genome.version = The version of the genome used.									
#SPOT_ID = Chromosomal region (hg19)									
ID	chrom	star	end	loc	meanPos	cyto	arm	genome.version	SPOT_ID
X3222423	1	10754	177417	10754	94085.5	p36.3	1p	UCSC.HG19_2010-03-08	chr1:10754-177417
X2698727	1	809628	998289	809628	903958.5	p36.3	1p	UCSC.HG19_2010-03-08	chr1:809628-998289
X2698340	1	995672	1145888	995672	1070780	p36.3	1p	UCSC.HG19_2010-03-08	chr1:995672-1145888
X2698682	1	998290	1155903	998290	1077096.5	p36.3	1p	UCSC.HG19_2010-03-08	chr1:998290-1155903
X2698494	1	1083545	1213897	1083545	1148721	p36.3	1p	UCSC.HG19_2010-03-08	chr1:1083545-1213897
X2698231	1	1087101	1237355	1087101	1162228	p36.3	1p	UCSC.HG19_2010-03-08	chr1:1087101-1237355
X2698279	1	1199408	1349515	1199408	1274461.5	p36.3	1p	UCSC.HG19_2010-03-08	chr1:1199408-1349515
X2698501	1	1392491	1501239	1392491	1446865	p36.3	1p	UCSC.HG19_2010-03-08	chr1:1392491-1501239
X2703199	1	1579998	1730129	1579998	1655063.5	p36.3	1p	UCSC.HG19_2010-03-08	chr1:1579998-1730129
X2701750	1	1724532	1881550	1724532	1803041	p36.3	1p	UCSC.HG19_2010-03-08	chr1:1724532-1881550
X2698549	1	2068066	2175007	2068066	2121536.5	p36.3	1p	UCSC.HG19_2010-03-08	chr1:2068066-2175007
X2698692	1	2047607	2197735	2047607	2122671	p36.3	1p	UCSC.HG19_2010-03-08	chr1:2047607-2197735
X2700077	1	2046695	2208284	2046695	2127489.5	p36.3	1p	UCSC.HG19_2010-03-08	chr1:2046695-2208284
X2698916	1	2072531	2252174	2072531	2162352.5	p36.3	1p	UCSC.HG19_2010-03-08	chr1:2072531-2252174
X2698517	1	2936545	3086744	2936545	3011644.5	p36.3	1p	UCSC.HG19_2010-03-08	chr1:2936545-3086744
X2698216	1	3368039	3538096	3368039	3453067.5	p36.3	1p	UCSC.HG19_2010-03-08	chr1:3368039-3538096
X2698560	1	3546988	3685397	3546988	3616192.5	p36.3	1p	UCSC.HG19_2010-03-08	chr1:3546988-3685397
X2700096	1	3565304	3716742	3565304	3641023	p36.3	1p	UCSC.HG19_2010-03-08	chr1:3565304-3716742
X2698257	1	3639063	3745933	3639063	3692498	p36.3	1p	UCSC.HG19_2010-03-08	chr1:3639063-3745933
X2698220	1	3645404	3795615	3645404	3720509.5	p36.3	1p	UCSC.HG19_2010-03-08	chr1:3645404-3795615
X2700105	1	4456209	4638447	4456209	4547328	p36.3	1p	UCSC.HG19_2010-03-08	chr1:4456209-4638447
X2703367	1	4646891	4737092	4646891	4691991.5	p36.3	1p	UCSC.HG19_2010-03-08	chr1:4646891-4737092
X2701229	1	4653971	4821785	4653971	4737878	p36.3	1p	UCSC.HG19_2010-03-08	chr1:4653971-4821785
X2698498	1	4793884	4944006	4793884	4868945	p36.3	1p	UCSC.HG19_2010-03-08	chr1:4793884-4944006
X2698509	1	5493373	5643427	5493373	5568400	p36.3	1p	UCSC.HG19_2010-03-08	chr1:5493373-5643427
X2698539	1	5534816	5626769	5534816	5580792.5	p36.3	1p	UCSC.HG19_2010-03-08	chr1:5534816-5626769
X2699374	1	5614249	5707636	5614249	5660942.5	p36.3	1p	UCSC.HG19_2010-03-08	chr1:5614249-5707636
